reg_id	name
95	Алтайский край
81	Амурская область
12	Архангельская область
64	Астраханская область
30	Белгородская область
46	Брянская область
5	Владимирская область
6	Волгоградская область
20	Вологодская область
16	Воронежская область
96	Всего по России
23	г.Москва
7	г.Санкт-Петербург
45	Дальневосточный округ
97	Еврейская автономная область
88	Забайкальский край
28	Ивановская область
92	Иркутская область
60	Кабардино-Балкарская Респ.
17	Калининградская область
9	Калужская область
80	Камчатский край
65	Карачаево-Черкесская Респ.
90	Кемеровская область
26	Кировская область
18	Костромская область
66	Краснодарский край
13	Красноярский край
8	Курганская область
47	Курская область
53	Ленинградская область
48	Липецкая область
78	Магаданская область
31	Московская область
54	Мурманская область
22	Нижегородская область
55	Новгородская область
14	Новосибирская область
4	Омская область
69	Оренбургская область
49	Орловская область
70	Пензенская область
71	Пермский край
42	Приволжский округ
82	Приморский край
15	Псковская область
19	Респ. Башкортостан
27	Респ. Карелия
74	Респ. Саха (Якутия)
62	Респ. Северная Осетия-Алания
59	Республика Адыгея (Адыгея)
85	Республика Алтай
86	Республика Бурятия
32	Республика Дагестан
58	Республика Ингушетия
61	Республика Калмыкия
52	Республика Коми
24	Республика Марий-Эл
67	Республика Мордовия
38	Республика Татарстан
84	Республика Тыва
83	Республика Хакасия
10	Ростовская область
1	Рязанская область
11	Самарская область
36	Саратовская область
77	Сахалинская область
2	Свердловская область
40	Северо-Западный округ
99	Северо-Кавказский округ
44	Сибирский округ
50	Смоленская область
33	Ставропольский край
51	Тамбовская область
37	Тверская область
89	Томская область
35	Тульская область
29	Тюменская область
34	Удмуртская Республика
72	Ульяновская область
43	Уральский округ
3	Хабаровский край
39	Центральный округ
21	Челябинская область
63	Чеченская Республика
68	Чувашская Республика
98	Чукотский автономный округ
41	Южный округ
25	Ярославская область
